)bR	ombres
Zwajo	joyaux
Zwe	joués
ZwiR	jouirent
Zy	jus
ZyR)	jurons
ZyRe	jurés
ZyRi	jurys
ZyZ	juges
ZyZOt	jugeote
Zybile	jubilée
Zyda	judas
ZydisjER	judiciaires
Zyl	jules
ZymEl	jumelles
Zymo	jumeaux
ZynjOR	juniors
Zyp	jupes
Zysk	jusques
Zyst	justes
Zystis	justices
Zyvenil	juvéniles
aNo	agneaux
aORt	aorte
aR	harts
aR@	harengs
aR@Ze	arrangés
aRE	haret
aRENe	araignées
aREm	harems
aREn	arènes
aREt	arêtes
aRS	arches
aRS(vEk	archevêques
aRSitEkt	architectes
aRSiv	archives
aRZ@	argents
aRZil	argiles
aRaSe	arrachés
aRab	arabes
aRbR	arbres
aRbitR	arbitres
aRbitRER	arbitraires
aRbyst	arbustes
aRd	hardes
aRd9R	ardeurs
aRd@	ardents
aRdi	hardis
aRdwaz	ardoises
aRdy	ardus
aRete	arrêtés
aRgo	argots
aRid	arides
aRiko	haricots
aRive	arrivés
aRj5	aryens
aRjER	arrières
aRk	arquent
aRk@Z	archanges
aRkad	arcades
aRkaik	archaïques
aRkeoloZi	archéologie
aRm	armes
aRmada	armadas
aRmistis	armistices
aRmoni	harmonies
aRmonika	harmonicas
aRmwaR	armoires
aRmyR	armures
aRnE	harnais
aRnak	arnaques
aRog@s	arrogance
aRom	arômes
aRoze	arrosés
aRp	harpes
aRp)	harpons
aRp@te	arpentés
aRs(le	harcelés
aRs2nal	arsenal
aRs2nik	arsenic
aRtER	artères
aRtiSo	artichauts
aRtifis	artifices
aRtij(Ri	artillerie
aRtikl	articles
aRtikyle	articulés
aRtiz@	artisans
aS	hasch
aS(te	achetés
aS(ve	achevés
aSa	hacha
aSaRne	acharnés
aSi	hachis
aZ	âges
aZ5da	agendas
aZ@	agents
aZiR	agirent
aZil	agiles
aZite	agités
ab)de	abondé
ab@d)	abandons
abEj	abeilles
abOR	abords
abR9ve	abreuvés
abReZe	abrégés
abRi	abris
abRiko	abricots
abRypt	abrupts
abRytiR	abrutir
abZEkt	abjects
